"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","296-46163-1-ND","OPA381AIDGKR","IC TRANSIMPEDANCE 1 CIRC 8VSSOP","","1","0","2.24000","2.24"
"2","1","475-SFH2704CT-ND","SFH 2704","SENSOR PHOTODIODE 900NM 2SMD","","1","0","0.83000","0.83"
"3","1","475-SFH7018ACT-ND","SFH 7018A","NEW AMS OSRAM RED/ GREEN/ IR LED","","1","0","0.68000","0.68"
"4","3","296-TLV9002IDDFRCT-ND","TLV9002IDDFR","IC OPAMP GP 2 CIRCUIT TSOT23-8","","3","0","0.57000","1.71"

